country,year,party_id,party,vote,seat,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,urban_rural,environment,regions,ethnic_minorities,nationalism,russian_interference,anti_islam_rhetoric
16,2024,1603,C,6.7,6.876790830945559,7.29,11,6.1052632,6.4444447,4.4000001,5.9473686,7.8421054,7.5,8.5333338,6.5789475,3.0999999,1.8472222,2.5,3.4210527,3.3157895,6.7777777,2.5,4.2857141,3.090909,2.9000001,2.6666667,2.1428571
16,2024,1604,L,4.6,4.584527220630372,4.3800001,3,6.8421054,6.7777777,5.1999998,6.7368422,7.3157897,6.75,7.3333335,6.2631578,5.6999998,2.5069444,2.6666667,6.7894735,6.1578946,3.875,6.1999998,4.7142859,5.5454545,3.9000001,0.66666669,4.2857141
16,2024,1605,M,19.1,19.48424068767908,17.530001,2,5.7368422,6.3333335,4.0,7.5789475,7.8947368,8.0,8.2666664,7.3157897,8.6999998,4.3194444,3.0,8.4736843,8.0526314,3.6666667,7.5999999,5.7142859,7.181818,7.0999999,1.0,5.2857141
16,2024,1606,KD,5.3,5.444126074498568,5.71,4,5.352941,5.8888888,3.2,8.0,7.2631578,6.5,6.8000002,6.5789475,7.9000001,5.9305556,6.3333335,8.2631578,8.5789471,5.3333335,7.4000001,5.8571429,6.909091,7.1999998,3.0,7.4285712
16,2024,1607,MP,5.1,5.157593123209169,13.85,7,5.3157897,5.3333335,3.0,2.7368422,3.1578948,2.75,3.4666667,2.8947368,1.6,1.3888889,1.8333334,2.1578948,1.4736842,4.0,0.1,4.4285712,1.8181819,1.7,5.3333335,1.1428572
16,2024,1610,SD,20.5,20.91690544412607,13.17,1,2.6842105,3.6666667,1.0,8.5263157,6.3157897,5.5,4.5714288,5.3684211,9.3000002,6.26388885,3.5,9.9473686,9.8947372,7.1111112,9.0,5.2857141,9.416667,9.5,5.6666665,9.1428576
20,2024,2002,SDS,0.0,0.0,,1,6.5185184,6.8000002,5.875,7.0,7.3076925,5.4615383,6.818182,6.0833335,4.8461537,5.16666675,5.090909,6.4761906,6.1904764,3.5,4.9000001,6.1666665,3.6363637,4.5999999,2.5714285,1.6666666
20,2024,2003,BSP,7.32,8.333333333333332,7.0100002,5,4.4285712,4.5999999,2.6666667,3.6800001,2.8928571,4.0666666,2.909091,3.0769231,6.7857141,6.75,5.25,7.9583335,7.3809524,6.2142859,6.181818,5.7142859,5.2727275,7.7272725,8.125,2.0999999
20,2024,2004,APS,7.23,7.916666666666666,14.66,3,5.9629631,6.4000001,4.4444447,4.8333335,4.7600002,4.25,4.7272725,4.7199998,4.6428571,5.6500001,5.0,4.9545455,2.8181818,7.3571429,4.2727275,4.1428571,1.0769231,3.3,4.25,1.3
20,2024,2010,GERB,25.52,28.75,23.549999,2,6.4285712,6.8000002,5.4444447,6.4400001,6.6428571,5.4666667,6.181818,5.9615383,5.7857141,4.82828285,5.25,6.3333335,6.0434785,4.6428571,5.0833335,7.2857141,3.6666667,5.090909,3.375,1.9
