mds1,mds2,country,party_id,party,vote,seat,epvote,family
-1.337271406464798,5.186469600244665,1,112,VB,3.7,2.0,4.3,1
-4.961352002803163,1.61675250418594,1,110,NVA,20.3,22.0,16.8,8
2.446474363603763,-3.8508530568710153,1,102,PS,11.7,15.3,10.7,5
-4.048388100207466,-1.6388907797159824,1,106,MR,9.6,13.3,9.9,3
-1.1268907851584056,-1.9078959133353803,1,111,FDF,1.8,1.3,1.2,8
1.9767498936660415,-3.8492859591600586,1,103,SPA,8.8,8.6999998,8.3,5
2.7367022169736446,-5.261445251183845,1,104,ECOLO,3.3,4.0,4.3,7
6.843992237752893,-2.7422009379361945,1,119,PVDA,3.7,1.3,3.5,6
-1.139771396113456,-0.18347378414707521,1,109,CD&V,11.6,12.0,12.6,4
2.685070149987484,-5.183080741560883,1,105,Groen,5.3,4.0,6.7,7
-0.33449052080676434,-1.301548992348853,1,108,CDH,5.0,6.0,4.1,4
-4.197910073879639,-1.5371714892422417,1,107,VLD,9.8,9.3000002,12.8,3
-2.717635359506709,5.3799015569362805,1,120,PP,1.5,0.69999999,2.2,2
0.4363735267082679,-1.1969009194606666,2,201,SD,24.5,24.6,19.1,5
1.2779156241683165,4.57229512494912,2,215,DF,12.2,12.3,26.6,1
6.309881280782644,-3.140694276877978,2,213,EL,6.6,6.6999998,,6
3.2629572150740533,-2.80350411692357,2,206,SF,9.1,8.8999996,11.0,6
-3.547752513491433,1.0988511823083056,2,211,V,26.4,26.299999,16.7,3
-5.09489177547341,-1.7345412324473022,2,218,LA,4.9,5.0,2.9,3
-1.3859168679592964,-3.991233970517833,2,202,RV,9.4,9.5,6.5,3
-3.014425289423638,1.2570505205161395,2,203,KF,4.9,4.5,9.1,2
6.12787176177339,-0.8648415917252028,2,217,FolkB,,,8.1,9
0.7827759189379534,6.548993019701198,3,309,NPD,1.3,0.0,1.0,1
-3.2032159491824808,-2.222222711057697,3,303,FDP,4.8,0.0,3.4,3
-3.2064131406439444,5.437293365135883,3,310,AfD,4.7,0.0,7.1,9
4.7727290174289365,-1.2381338040351637,3,306,LINKE,8.6,10.1,7.4,6
3.828267812122714,-4.557316693587929,3,312,DieTier,0.3,0.0,1.2,7
2.482593892088749,-4.12469893962367,3,311,Piraten,2.2,0.0,1.4,9
-1.9053124141423534,2.796580291147352,3,308,CSU,7.4,8.8999996,5.3,4
0.6930257611183643,-2.1905378373867843,3,302,SPD,25.7,30.6,27.3,5
-1.6192459959316405,0.3915656185028192,3,301,CDU,34.1,40.400002,30.0,4
1.4135190991815363,-4.32278764286863,3,304,Grunen,8.4,10.0,10.7,7
-1.0464099343196807,5.407741721094882,4,410,LAOS,1.6,0.0,2.7,1
-3.143067279379736,2.696597362527463,4,402,ND,29.7,43.0,22.7,2
1.4414929677285508,-3.7421126026313307,4,414,DIMAR,6.3,5.6999998,1.2,5
2.8234601184098094,7.40296516307509,4,415,XA,6.9,6.0,9.4,1
6.365373253974267,0.8301661231473931,4,404,KKE,4.5,4.0,6.1,6
-0.5464976674605262,-3.401900347591541,4,413,Potami,,,6.6,5
-0.7226240194448799,-1.4032792288099527,4,401,PASOK,12.3,11.0,8.0,5
0.3776724572495728,5.976843147136365,4,412,ANEL,7.5,6.6999998,3.5,1
4.190284696350612,-2.9648624629931892,4,403,SYRIZA,26.9,23.700001,26.6,6
1.1101771808313483,0.6060473408555689,5,507,EA,0.2,0.30000001,2.1,8
-2.3047622229946834,1.1688304200809576,5,506,EAJ/PNV,1.4,1.4,1.8,8
-3.9251866115554788,0.929841291586333,5,505,CiU,4.2,4.5999999,3.6,8
-1.5795950897491713,-2.516243984536391,5,523,UPyD,4.8,1.4,6.5,3
-4.601741753465812,2.204416580494286,5,502,PP,41.9,53.099998,26.1,2
3.9642782771251914,-2.943927832878531,5,518,ICV,1.3,0.60000002,1.7,7
-1.9918524178759012,-1.2174979617584043,5,526,C's,,,3.2,3
0.9543632181218574,-2.860784149319796,5,501,PSOE,28.8,31.4,23.0,5
-1.7534126977443774,0.11616697205280524,5,517,CC,0.6,0.60000002,0.0,8
4.36116208837967,-1.28769228539281,5,513,BNG,0.8,0.60000002,0.0,8
5.0823015386073775,-0.35595640366889386,5,524,Amaiur,1.2,1.7,,8
4.721916242432006,-2.968529443333207,5,525,Podemos,,,8.0,6
4.1163691021186315,-3.2229494448853715,5,504,IU,5.0,2.3,6.7,6
3.147632060570149,-0.597292007563568,5,511,ERC,1.1,0.89999998,4.0,8
2.771570084480352,-4.886278471437433,6,605,EELV,5.5,2.9000001,9.0,7
-1.852362302458018,0.29666697957283644,6,622,PRV,1.2,1.0,1.4,3
0.9193670435599849,-1.9879790376949393,6,602,PS,29.4,48.5,12.9,5
-2.3604159612447453,0.607766825963525,6,621,NC,2.2,2.0999999,1.4,3
5.630633673756814,-2.0301429956273713,6,624,PG,0.7,0.2,2.1,6
-1.4594379828718955,6.67855579349031,6,612,MPF,0.23,0.0,0.0,1
5.177264736714338,-0.76960313035996,6,601,PCF,4.8,1.2,2.1,6
3.4000490914919452,-0.9285339021432865,6,625,Ensemble,,,,6
-2.1484340123710557,0.16841876252402552,6,613,MODEM,1.8,0.30000001,5.7,3
-2.211938043590027,0.5210068767390446,6,623,AC,0.6,0.30000001,1.4,3
1.4045623835577772,-1.6626738964188528,6,603,PRG,1.7,2.0999999,1.1,6
0.595315521945719,6.7229225428905,6,610,FN,13.6,0.30000001,24.9,1
-3.224690665721576,2.371424541341959,6,609,UMP,27.1,33.599998,20.8,2
5.945167468385716,-1.4936984056004383,7,708,SP,1.2,1.2,1.8,6
4.240395758349058,0.25153320649261657,7,707,SF,9.9,8.5,19.5,8
6.348302958633363,-1.6568083281057353,7,709,PBPA,1.0,1.2,1.4,6
0.5989334629665575,-1.2196542425303425,7,703,Lab,19.5,22.4,5.3,5
-3.027341638677933,1.4175936016898802,7,702,FG,36.1,46.099998,22.3,4
2.6232065893092242,-2.5605296920442364,7,705,GP,1.9,0.0,4.9,7
-1.3494334459465356,2.0827943536262175,7,701,FF,17.5,11.5,22.3,2
-1.306790837617881,1.6106842969506945,8,814,UDC,1.8,1.3,1.5,4
-3.7697480109637738,-0.879090940601402,8,846,SC,8.3,6.0,0.7,3
2.27181395422324,0.15043979814601605,8,847,VdA,0.01,1.0,,8
0.06576764381795498,-2.4207863077539824,8,837,PD,25.4,47.299999,40.8,5
-3.2984406713612984,3.185957823398841,8,815,FI,21.6,15.7,16.8,2
-0.6642014669654754,6.664625923423471,8,811,LN,4.1,2.9000001,6.2,8
1.2303165288716111,6.184452607735391,8,844,FdI,2.0,1.5,3.7,2
5.568344994990083,-2.907418567117642,8,838,SEL,3.2,6.0,1.33,5
4.294912897331225,0.5754542869249649,8,845,M5S,25.6,17.5,21.2,9
-0.9550413031613714,-0.2412339086730209,8,843,CD,0.5,1.0,0.0,11
1.4535836434202731,1.0835154559653926,8,827,SVP,0.4,0.80000001,0.5,8
7.027693806396819,-2.4475919414863716,8,803,RC,2.3,0.0,1.33,6
-2.654552253301248,2.001223329541298,8,848,NCD,,,2.9,2
-2.248288093719288,1.574237160918012,10,1001,CDA,8.5,8.6999998,15.2,4
1.6541829093905693,1.9246807065042257,10,1016,CU,3.1,3.3,3.9,10
1.6995257026996462,-4.887139063880048,10,1005,GL,2.3,2.7,7.0,7
0.6690161549217718,-1.8682126952451896,10,1002,PvdA,24.8,25.299999,9.4,5
1.4491501799148951,6.075242778921754,10,1017,PVV,10.1,10.0,13.3,1
5.0422999824082675,0.27703086997450277,10,1014,SP,9.7,10.0,9.6,6
4.418564751379125,-1.9626984816013844,10,1018,PvdD,1.9,1.3,4.2,7
-1.6385505552046629,-4.339721138180813,10,1004,D66,8.0,8.0,15.5,3
1.08423657742586,-0.03347893987720776,10,1020,50PLUS,1.9,1.3,3.7,9
-1.659942491579243,5.05551889219498,10,1006,SGP,2.1,2.0,3.9,10
-4.375638024560301,0.29607636614392935,10,1003,VVD,26.6,27.299999,12.0,3
3.9804087958264804,-4.327275666759338,11,1107,GREEN,1.0,0.2,7.9,7
1.2299780656789658,-3.599279852075893,11,1106,PLAID,0.6,0.5,0.7,8
-3.184851481554771,6.358010957209244,11,1108,UKIP,3.1,0.0,27.5,1
1.2566949506334257,-2.2769974286718115,11,1105,SNP,1.7,0.89999998,2.5,8
0.5562770831829041,-1.6692232328832965,11,1102,LAB,29.0,39.700001,25.4,5
-0.4676297907522555,-3.0215306849476153,11,1104,LibDem,23.0,8.8000002,6.9,3
-3.222057164227334,2.5966571171059614,11,1101,CONS,36.1,47.200001,23.9,2
5.489313382854015,-3.8452455261192844,12,1208,BE,5.4,3.5,4.9,6
6.494447127461976,-0.7642174426358035,12,1201,CDU,8.2,7.0,13.7,6
2.1439907402159366,2.7218383622731857,12,1209,MPT,0.4,0.0,7.7,7
-3.2125225876433525,0.18603734466291313,12,1206,PSD,40.3,47.0,25.7,3
0.3041543019121354,-1.7867268355126464,12,1205,PS,29.2,32.200001,34.0,5
-2.5654614275846312,2.2050019179388767,12,1202,PP,12.2,10.4,4.3,2
-1.7169942502145468,4.2070457430802755,13,1307,BZO,3.5,0.0,0.5,1
