mds1,mds2,country,party_id,party,vote,seat,epvote,family
6.5011110953245534,-1.4479000558526733,1,119,PVDA-PTB,8.62,8.1000004,8.42,6
-3.384593950240446,2.921816698288451,1,110,VU/NVA,16.03,16.9,14.17,8
1.9698423146287947,-4.951593041487137,1,105,AGALEV,6.1,5.4000001,7.81,7
-0.00018418867875872417,5.703877360504996,1,112,VB,11.95,12.2,12.05,1
-3.2521253464330737,-1.5372262909822787,1,107,VLD/PVV,8.54,8.1000004,10.07,3
1.8421470668307252,-2.8209678317672453,1,103,SP/SPA,6.71,6.0999999,6.45,5
2.156986038214485,-5.089617454338119,1,104,ECOLO,6.14,8.8000002,7.31,7
2.52735368901654,-2.993428995854558,1,102,PS,9.46,13.5,9.74,5
-2.9033576828255767,-1.2234387915132912,1,106,PRL/MR,7.56,9.5,7.06,3
-1.272022181018719,0.2951102950577226,1,109,CDV,8.89,8.1000004,9.17,4
-0.3840034813931528,-0.8538651145080178,1,108,PSC/CDH,3.7,3.4000001,3.45,4
-5.161064329976332,0.35233145186379133,2,218,LA,2.3,2.3,2.2,3
-3.5820576964909843,5.501372447814411,2,220,NB,2.4,2.3,,1
1.281713779921074,4.80802563130038,2,215,DF,8.7,9.1000004,10.8,1
2.402720507783818,-3.819072696458102,2,219,A,3.0,2.9000001,3.4,7
-3.021025236608512,1.2288402938905383,2,203,KF,6.6,6.9000001,6.2,2
2.7206056580957707,-1.975233197566633,2,206,SF,7.7,8.0,13.2,7
-1.2700944305754422,-3.9516783585445148,2,202,RV,8.6,9.1000004,10.1,3
-2.74103731202309,1.0712078673225116,2,211,v,23.4,24.6,23.5,3
5.589507493191736,-2.6485418104673544,2,213,EL,6.9,7.4000001,5.5,6
1.399067720922377,0.49598422597232994,2,201,SD,25.9,27.4,21.5,5
1.313521960641078,-5.24314817576469,3,311,Piraten,,,0.7,9
-1.9304942376167267,0.9714378676272802,3,301,CDU,26.8,28.200001,22.6,4
-2.505443848045357,2.879017823729012,3,308,CSU,6.2,6.5,6.3,4
4.430205067290275,-2.5371949352822742,3,306,LINKE,9.2,9.6999998,5.5,6
-1.3552651826808244,6.404767674146303,3,310,AfD,12.6,13.3,11.0,1
0.6970236215928997,-4.855738196371798,3,304,GRUNEN,8.9,9.3999996,20.5,7
0.6547326528303834,-2.1642396709747844,3,302,SPD,20.5,21.6,15.8,5
4.078004802284944,-0.9767431665940614,3,312,DieTier,,,1.4,7
-4.655105191080465,-0.8650472576942695,3,303,FDP,10.7,11.3,5.4,3
3.616608305406849,-4.771448803235315,4,417,MR25,3.44,3.0,2.99,6
-4.159217736109273,2.289163634540823,4,402,ND,39.85,52.799999,33.12,2
-0.16491128772891858,-3.1654005345774507,4,418,KIDISO,0.74,0.69999999,,5
-0.25888080303846334,-1.8229123953509052,4,401,PASOK,7.0,6.4000001,7.72,5
1.9002648531941686,6.2268951140542175,4,416,EL,3.7,3.3,4.18,1
2.9344660409084082,-3.8976392553175243,4,403,SYRIZA,31.53,28.799999,23.75,6
2.4800871376669242,6.737690077343992,4,415,XA,2.93,0.0,4.87,1
