country,year,party_id,party,vote,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,environment,regions,ethnic_minorities,nationalism
20,2014,2016,ABV,4.2,4.0,5,5.647058963775635,4.800000190734863,4.625,3.466666698455811,3.375,3.066666603088379,3.692307710647583,3.133333444595337,5.333333492279053,5.785714149475098,3.714285612106323,6.461538314819336,5.2307692,6.5,4.75,5.785714149475098,5.25
20,2014,2013,DBG,2.7,2.2,9,6.75,6.428571224212646,6.599999904632568,6.133333206176758,6.533333301544189,6.071428775787354,7.071428775787354,6.599999904632568,4.0,3.142857074737549,3.928571462631226,4.538461685180664,3.7692308,5.1999998,3.9000001,4.071428775787354,3.0
20,2014,2004,DPS,14.8,17.3,3,6.0,5.25,5.176470756530762,4.6875,4.352941036224365,4.5,4.466666698455811,4.235294342041016,4.75,6.214285850524902,5.25,4.833333492279053,2.6153846,7.25,3.8333333,1.200000047683716,4.2352943
20,2014,2014,NFSB,4.2,3.1,2,3.0,3.466666698455811,2.9375,6.857142925262451,4.266666889190674,4.083333492279053,3.076923131942749,3.0,8.5625,8.25,6.571428775787354,9.133333206176758,9.0714283,7.25,5.7142859,8.928571701049805,8.8125
20,2014,2003,BSP,14.6,18.9,5,5.294117450714111,4.75,3.529411792755127,3.6875,3.470588207244873,3.0,3.666666746139526,3.176470518112183,5.625,5.769230842590332,3.266666650772095,6.199999809265137,5.3571429,6.6666665,5.6666665,4.933333396911621,5.1176472
20,2014,2015,BBT,5.7,5.4,9,4.533333301544189,3.700000047683716,3.444444417953491,6.083333492279053,3.900000095367432,4.166666507720947,3.5,3.0,8.357142448425293,7.92307710647583,5.181818008422852,8.800000190734863,7.8000002,7.4166665,4.5714288,8.454545021057129,8.0
20,2019,2010,GERB,33.54,31.1,2,6.550000190734863,6.449999809265137,5.44444465637207,6.095238208770752,6.095238208770752,5.333333492279053,6.0,5.904761791229248,6.736842155456543,5.894736766815186,5.470588207244873,6.809523582458496,6.3333335,5.9523811,5.9333334,4.599999904632568,5.8499999
20,2019,2014,NFSB,9.31,1.2,2,3.947368383407593,4.533333301544189,2.70588231086731,7.349999904632568,5.473684310913086,4.071428775787354,3.785714387893677,5.400000095367432,9.222222328186035,9.44444465637207,7.199999809265137,9.526315689086914,9.1176472,7.4285712,6.25,9.44444465637207,8.8421049
20,2019,2008,DSB,2.54,6.1,2,6.823529243469238,6.5789475440979,5.777777671813965,7.449999809265137,7.949999809265137,6.650000095367432,7.550000190734863,6.599999904632568,4.0,4.631578922271729,3.9375,5.449999809265137,5.0526314,4.9000001,2.2307692,3.833333253860474,3.6842105
20,2019,2004,DPS,9.24,16.6,3,6.25,5.842105388641357,5.0,4.714285850524902,4.952381134033203,4.400000095367432,5.150000095367432,4.599999904632568,4.473684310913086,5.222222328186035,5.133333206176758,5.599999904632568,3.8823528,6.1500001,3.6666667,0.75,5.1052632
20,2019,2003,BSP,27.93,24.3,5,5.099999904632568,4.949999809265137,3.411764621734619,3.25,3.0,3.150000095367432,3.0,3.0,6.222222328186035,7.473684310913086,4.117647171020508,7.190476417541504,7.0555553,6.3000002,5.8666668,5.25,7.0999999
20,2019,2017,Volya,4.26,3.6,1,3.5,4.5,2.769230842590332,5.55555534362793,5.375,5.357142925262451,5.066666603088379,5.176470756530762,7.5625,8.3125,6.111111164093018,8.05555534362793,7.9375,7.0,5.4444447,7.5,7.9411764
20,2019,2019,Slavi Trifonov,,,9,4.375,4.833333492279053,3.142857074737549,5.666666507720947,4.333333492279053,5.875,5.333333492279053,3.5,6.375,5.625,4.333333492279053,7.142857074737549,6.5,5.0,5.4000001,4.375,5.875
20,2019,2018,DB,2.96,,7,6.8125,6.666666507720947,5.833333492279053,6.050000190734863,6.777777671813965,5.150000095367432,5.849999904632568,5.550000190734863,2.368421077728271,2.263157844543457,1.875,4.25,3.4736843,3.2105262,1.7857143,2.578947305679321,2.1052632
20,2019,2007,Ataka,,1.1,1,2.200000047683716,2.666666746139526,1.549999952316284,6.809523582458496,3.526315689086914,3.923076868057251,2.25,3.1875,9.350000381469728,9.699999809265137,7.625,9.7619047164917,9.6470585,7.6666665,7.3846154,9.699999809265137,9.5500002
20,2019,2005,BMRO,,7.4,2,3.842105150222778,3.533333301544189,2.450000047683716,6.900000095367432,4.809523582458496,3.928571462631226,3.0,4.8125,9.399999618530272,9.600000381469728,7.625,9.523809432983398,9.5294113,7.0,6.7692308,9.619047164916992,9.5
21,2002,2102,ODS,24.5,,2,3.78,4.17,2.11,7.08,7.64,,,,,,,,,,,,
21,2002,2103,KSCM,18.5,,6,2.72,2.24,1.76,0.91,0.86,,,,,,,,,,,,
21,2002,2105,US-DEU,4.15,,2,6.83,6.11,5.67,6.78,7.53,,,,,,,,,,,,
21,2002,2104,KDU-CSL,10.29,,4,6.44,5.35,5.61,4.86,7.92,,,,,,,,,,,,
21,2002,2101,CSSD,30.2,,5,6.44,5.5,5.83,3.33,3.0,,,,,,,,,,,,
21,2006,2104,KDU-CSL,7.2,9.600000381469728,4,5.75,6.14,5.43,5.71,5.71,5.0,5.829999923706055,4.829999923706055,7.0,7.599999904632568,6.800000190734863,4.5,7.0,,4.25,6.199999809265137,
21,2006,2107,SZ,6.3,3.200000047683716,7,6.25,6.0,5.83,4.86,5.17,5.670000076293945,6.170000076293945,5.670000076293945,2.400000095367432,3.0,2.0,4.75,2.4000001,,4.0,3.400000095367432,
21,2006,2101,CSSD,32.3,8.800000190734863,5,5.88,6.0,5.86,3.43,3.29,2.710000038146973,4.0,3.5,5.199999809265137,3.599999904632568,2.0,5.25,5.5,,5.25,4.5,
21,2006,2102,ODS,35.4,30.0,2,2.89,6.43,2.14,7.71,8.0,8.0,8.329999923706055,7.670000076293945,4.400000095367432,3.799999952316284,2.799999952316284,5.25,6.25,,6.5,5.0,
21,2006,2106,SNK-ED,2.1,11.0,2,6.5,6.5,6.0,6.67,7.2,7.0,7.400000095367432,7.0,3.25,3.25,2.75,3.670000076293945,3.0,,2.6700001,2.670000076293945,
21,2006,2103,KSCM,12.8,20.29999923706055,6,2.5,2.57,2.0,0.86,1.0,0.5,1.169999957084656,0.5,6.75,4.75,0.800000011920929,5.0,6.6700001,,5.75,5.0,
