country,year,party_id,party,vote,seat,epvote,family,lrgen,lrecon,eu_position,eu_foreign,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,regions,environment,nationalism,region,leftgen,rightgen,leftecon,rightecon
16,2019,1601,V,8.0,8.0,6.8,6,-3.29411768913269,-3.235294103622437,3.627450863520305,1.1538461844126384,3.2142857710520434,9.235294103622437,0.7333333492279053,9.5,1.941176414489746,9.588235288858414,1.125,1.529411792755127,8.9411764,9.0,5.8125,8.411764699999999,2.4117646,North,3.29411768913269,0.0,3.235294103622437,0.0
16,2019,1602,S/SAP,28.3,28.7,23.48,5,-1.1176471710205078,-0.8823528289794922,7.916666666666667,3.5897437731424966,7.261904875437419,7.0,3.933333396911621,7.1875,5.882352828979492,8.29411768913269,1.625,6.294117450714111,4.9411764,5.75,5.3125,5.2352943,4.4705882,North,1.1176471710205078,0.0,0.8823528289794922,0.0
16,2019,1603,C,8.6,8.9,10.78,11,1.8235292434692383,3.0,8.43137264251709,4.743589560190837,9.047618707021076,2.411764621734619,8.6875,3.25,4.647058963775635,9.235294103622437,2.0,1.941176414489746,7.5294118,7.625,6.375,6.1176472,2.0,North,0.0,1.8235292434692383,0.0,3.0
16,2019,1604,L,5.5,5.7,4.13,3,1.529411792755127,2.117647171020508,9.803921381632486,7.43589719136556,9.88095204035441,2.75,8.0,3.75,6.294117450714111,9.0,1.733333349227905,4.5,5.5294118,6.625,5.0625,4.5882354,2.5294118,North,0.0,1.529411792755127,0.0,2.117647171020508
16,2019,1605,M,19.8,20.1,16.83,2,2.7058825492858887,2.7058825492858887,8.43137264251709,5.0,9.166666666666666,1.6470584869384766,8.1875,2.8125,8.647058486938477,7.1875,3.0625,8.0,3.1764707999999997,5.0,4.6666665,3.5294118,5.5294118,North,0.0,2.7058825492858887,0.0,2.7058825492858887
16,2019,1606,KD,6.3,6.3,8.62,4,2.8235292434692383,2.2352943420410156,8.039215405782064,4.615384737650554,8.928571542104086,3.2352943420410156,7.599999904632568,3.6875,8.235294342041016,4.882352828979492,6.0625,7.823529243469238,2.8235292000000003,5.25,5.0,3.8823527999999996,6.2352943,North,0.0,2.8235292434692383,0.0,2.2352943420410156
16,2019,1607,MP,4.4,4.6,11.52,7,-1.70588231086731,-1.058823585510254,6.86274528503418,2.5641024112701416,6.071428457895915,6.588235378265381,3.875,7.0,1.70588231086731,9.588235288858414,1.5,1.3125,9.11764705,8.875,6.1875,9.41176468,1.0588236,North,1.70588231086731,0.0,1.058823585510254,0.0
16,2019,1610,SD,17.5,17.8,15.34,1,3.4705886840820312,0.5882353782653809,2.058823506037395,0.5128204822540283,2.6388887564341235,5.235294342041016,5.333333492279053,5.3125,9.470588684082031,2.875,3.333333253860474,9.764705657958984,0.23529429999999962,0.8125,5.1428571,2.0588236,9.6470585,North,0.0,3.4705886840820312,0.0,0.5882353782653809
16,2024,1601,V,6.8,24.0,11.06,6,-3.421052575111389,-3.105263113975525,3.8596491018931065,1.6666666666666667,5.0,9.5,0.8666666746139526,8.631578922271729,2.099999904632568,8.659722200000001,1.666666626930237,3.052631616592407,7.842105200000001,7.75,5.0,8.6,2.0999999,North,3.421052575111389,0.0,3.105263113975525,0.0
16,2024,1602,SAP,30.3,107.0,24.77,5,-1.263157844543457,-1.3157894611358638,7.894736925760905,4.333333174387613,8.518518606821695,7.5,3.666666746139526,7.0,6.400000095367432,7.7569444,3.0,6.947368621826172,4.5555553,4.75,4.7142859,6.3,4.5,North,1.263157844543457,0.0,1.3157894611358638,0.0
16,2024,1603,C,6.7,24.0,7.29,11,0.9473686218261719,2.8421053886413574,8.508772055308023,5.666666825612386,9.074074427286783,2.5,8.533333778381348,3.4210524559020996,3.099999904632568,8.152777799999999,2.5,3.421052694320679,6.6842105,6.909090995788574,5.7142859,7.5,2.9000001,North,0.0,0.9473686218261719,0.0,2.8421053886413574
16,2024,1604,L,4.6,16.0,4.38,3,1.736842155456543,2.3157896995544434,9.736842314402262,6.9999996821085615,9.629629453023275,3.25,7.333333492279053,3.736842155456543,5.699999809265137,7.4930556,2.666666746139526,6.789473533630371,3.8421054000000003,4.454545497894287,5.2857141,3.8000002000000004,3.9000001,North,0.0,1.736842155456543,0.0,2.3157896995544434
16,2024,1605,M,19.1,68.0,17.53,2,2.5789475440979004,2.8947367668151864,7.894736925760905,5.0,8.888889153798422,2.0,8.266666412353516,2.6842103004455566,8.699999809265137,5.6805556,3.0,8.473684310913086,1.9473686000000008,2.8181819915771484,4.2857141,2.4000000999999997,7.0999999,North,0.0,2.5789475440979004,0.0,2.8947367668151864
16,2024,1606,KD,5.3,19.0,5.71,4,3.0,2.263157844543457,7.254901727040608,3.6666667461395264,8.14814805984497,3.5,6.800000190734863,3.4210524559020996,7.900000095367432,4.0694444,6.333333492279053,8.263157844543457,1.4210528999999994,3.090909004211426,4.1428571,2.5999999000000003,7.1999998,North,0.0,3.0,0.0,2.263157844543457
16,2024,1607,MP,5.1,18.0,13.85,7,-2.263157844543457,-1.8421051502227779,7.192982832590739,3.3333333333333335,7.222222487131755,7.25,3.466666698455811,7.1052632331848145,1.600000023841858,8.6111111,1.833333373069763,2.157894849777222,8.526315799999999,8.181818127632141,5.5714288,9.9,1.7,North,2.263157844543457,0.0,1.8421051502227779,0.0
16,2024,1610,SD,20.5,73.0,13.17,1,3.526315689086914,1.3157896995544434,2.80701756477356,0.0,4.44444457689921,4.5,4.571428775787354,4.631578922271729,9.300000190734863,3.73611115,3.5,9.947368621826172,0.10526280000000021,0.5833330154418963,4.7142859,1.0,9.5,North,0.0,3.526315689086914,0.0,1.3157896995544434
20,2002,2001,NDSV,42.7,50.0,0.0,3,0.6399999999999997,0.7300000000000004,9.083333333333334,7.333333333333333,8.616666666666667,,,,,,,,,,,,,East,0.0,0.6399999999999997,0.0,0.7300000000000004
20,2002,2002,ODS,18.2,21.3,0.0,2,2.1799999999999997,2.2699999999999996,9.85,7.5,8.616666666666667,,,,,,,,,,,,,East,0.0,2.1799999999999997,0.0,2.2699999999999996
20,2002,2003,KzB,17.1,20.0,0.0,5,-2.73,-2.28,8.633333333333333,6.833333333333333,7.666666666666667,,,,,,,,,,,,,East,2.73,0.0,2.28,0.0
