country,year,party_id,party,vote,seat,epvote,family,lrgen,lrecon,eu_position,eu_foreign,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,regions,environment,nationalism,mds1,mds2
1,1999,102,PS,10.2,12.7,9.59,5,-1.888888835906982,-2.375,9.444444179534912,9.259258906046549,,,,,,,,,,,,,,0.10719442875353899,-2.097978417606605
1,1999,103,SP,9.6,9.3,8.84,5,-1.666666746139526,-1.875,9.444444179534912,9.259258906046549,,,,,,,,,,,,,,0.28034133669574635,-1.9304471040513738
1,1999,104,ECOLO,7.3,7.3,8.44,7,-3.111111164093018,-3.25,7.962962786356608,6.851851940155029,,,,,,,,,,,,,,-0.9773198195786521,-1.9264654810052666
1,1999,105,AGALEV,7.0,6.0,7.46,7,-2.555555582046509,-2.875,8.333333333333334,6.851851940155029,,,,,,,,,,,,,,-0.7257795772339164,-1.783127026277249
1,1999,106,PRL,7.7,9.0,6.69,3,1.6666665077209473,2.0,9.259258906046549,9.259258906046549,,,,,,,,,,,,,,1.866406129153231,-0.27336720675484133
1,1999,107,PVV/VLD,14.3,15.3,13.61,3,2.1111111640930176,2.625,9.444444179534912,9.259258906046549,,,,,,,,,,,,,,2.1416082408059935,-0.07479620197249134
1,1999,108,PSC,5.9,6.7,4.95,4,0.22222232818603516,0.25,9.814814726511637,9.259258906046549,,,,,,,,,,,,,,1.22084642450449,-1.0945399529402404
1,1999,109,CVP,14.1,14.7,13.49,4,0.7777776718139648,0.75,9.814814726511637,9.259258906046549,,,,,,,,,,,,,,1.4559020764346178,-0.8538864134088784
1,1999,110,VU,5.6,5.3,7.57,8,0.125,0.0,6.666666666666667,6.458333333333333,,,,,,,,,,,,,,0.1929550152794322,-0.20379078771263087
1,1999,111,FDF,2.4,3.0,3.34,8,1.1111111640930176,1.25,8.571428457895914,8.809523582458496,,,,,,,,,,,,,,1.390421287453879,-0.3910666832471869
1,1999,112,VB,9.9,10.0,9.39,1,4.888889312744141,3.75,2.037037213643392,3.5416666666666665,,,,,,,,,,,,,,0.98337306915972,2.9383829596172424
1,1999,113,MCC,0.0,0.0,0.0,4,0.5714287757873544,0.8000001907348633,9.047618707021076,9.000000158945719,,,,,,,,,,,,,,1.272695147111206,-0.7200362381034776
1,1999,114,ID21,0.0,0.0,0.0,8,0.14285707473754883,0.14285707473754883,6.041666666666667,6.458333333333333,,,,,,,,,,,,,,0.12993950646430866,-0.06557943976609566
1,1999,115,FN,1.5,0.7,1.52,1,4.888889312744141,3.75,1.904761791229248,1.6666666666666667,,,,,,,,,,,,,,0.5639960579897165,3.2479993293792195
1,2002,102,PS,10.2,12.7,9.59,5,-1.65,-2.5,8.483333333333333,8.883333333333333,5.166666666666666,,,,,,,,,,,,,0.48834421389447086,1.9959770384064517
1,2002,103,SP,9.6,9.3,8.84,5,-1.5,-2.0,7.416666666666667,9.25,5.0,,,,,,,,,,,,,0.511130615607632,1.8708801509073332
1,2002,104,ECOLO,7.3,7.3,8.44,7,-2.44,-2.6,8.166666666666666,6.666666666666667,4.8,,,,,,,,,,,,,1.0992884254112048,1.5272345732664778
1,2002,105,AGALEV,7.0,6.0,7.46,7,-2.36,-2.55,8.25,6.833333333333333,4.633333333333333,,,,,,,,,,,,,1.0765337520984588,1.535929766939271
1,2002,106,MR,10.1,12.0,6.69,3,1.3499999999999996,2.3,8.7,9.816666666666666,8.883333333333333,,,,,,,,,,,,,-2.478884803287102,0.6844800822151074
1,2002,107,VLD,14.3,15.3,13.61,3,1.2300000000000004,2.45,9.233333333333333,9.700000000000001,9.5,,,,,,,,,,,,,-2.638021916534846,0.7668352186095518
1,2002,108,CDH,5.9,6.7,4.95,4,0.6500000000000004,1.0,8.833333333333334,9.066666666666668,7.966666666666668,,,,,,,,,,,,,-1.615401147644607,0.8378123768091569
1,2002,109,CD&V,14.1,14.7,13.49,4,0.9500000000000002,0.8200000000000003,9.4,9.383333333333333,8.0,,,,,,,,,,,,,-1.7722236052734357,0.9516157124669019
1,2002,110,NVA,5.6,5.3,7.57,8,1.2199999999999998,0.6699999999999999,6.666666666666667,6.666666666666667,6.666666666666667,,,,,,,,,,,,,-0.6076620346590191,-0.28465950657080474
1,2002,112,VB,9.9,10.0,9.39,1,4.550000000000001,2.9000000000000004,2.8833333333333333,2.9166666666666665,3.133333333333333,,,,,,,,,,,,,0.05823608033410178,-3.4896986219073747
1,2006,102,PS,13.0,16.7,13.5,5,-1.5,-1.83,7.8500000000000005,8.049999999999999,5.0,7.329999923706055,2.329999923706055,8.0,3.670000076293945,7.670000076293945,1.330000042915344,2.5,5.8000002,6.829999923706055,3.8299999,,,2.2083756971630923,2.2705647734074987
1,2006,103,SPA,14.9,15.3,11.0,5,-1.7799999999999998,-2.37,7.666666666666667,7.5,4.816666666666667,8.120000004768372,2.220000028610229,8.120000004768372,4.0,8.669999957084656,1.629999995231628,3.75,6.6199999,6.710000038146973,5.1199999,,,2.4387233215606607,2.2159264886536874
1,2006,104,ECOLO,3.1,2.7,3.7,7,-2.17,-1.5,7.616666666666667,7.783333333333334,4.45,7.170000076293945,2.0,8.0,2.329999923706055,8.5,1.330000042915344,2.0,8.0,7.670000076293945,3.6700001,,,2.362074443285299,3.6042716694743273
